date,gh_stars:software-mansion/react-native-executorch,gh_stars:software-mansion-labs/react-native-rag,gh_stars:software-mansion-labs/private-mind,npm_weekly:react-native-executorch,npm_weekly:react-native-executorch-expo-resource-fetcher,npm_weekly:react-native-executorch-bare-resource-fetcher,npm_weekly:react-native-rag,hf_total_monthly,hf_total_alltime,hf_model_count,rne_dependents_total,pm_ios_downloads,pm_android_downloads,pm_ios_opinions,pm_android_opinions,pm_ios_rating,pm_android_rating,pm_updated_at
2026-04-21,1421,308,323,9418,1644,861,222,1164861,2986060,48,59,,,,,,,
2026-04-27,1434,311,326,9505,1722,864,222,1236973,3290032,50,59,1480,1460,15,18,3.5,3.89,2026-04-27
2026-05-04,1443,312,328,8784,2725,846,234,1395154,3678065,54,59,1480,1460,15,18,3.5,3.89,2026-04-27
2026-05-11,1508,315,332,8681,2874,961,203,1542225,4117968,53,60,1480,1460,15,18,3.5,3.89,2026-04-27
2026-05-18,1517,319,335,8462,2270,1143,130,1594527,4486639,54,60,1480,1460,15,18,3.5,3.89,2026-04-27
2026-05-25,1523,322,336,9663,3734,1283,286,1402836,4649096,54,61,4124,4958,18,25,3.7,3.84,2026-05-18
2026-06-01,1536,325,339,9733,4897,1718,339,1185460,4809784,57,61,4204,4384,20,26,3.9,3.885,2026-05-18
2026-06-08,1558,325,340,9485,4750,1300,237,896260,4957309,57,62,4265,5646,20,28,3.9,3.929,2026-06-08
2026-06-15,1569,326,343,7466,3524,349,159,477739,4934360,57,62,4265,5646,20,28,3.9,3.929,2026-06-08
2026-06-21,1594,328,343,8873,4058,257,613,671338,5266373,59,62,4265,5646,20,28,3.9,3.929,2026-06-08
